; Quintessential Latin 0.220; proposed private-use allocation, not a registration.
F2A00	QUINTESSENTIAL LATIN LETTER BOWL
F2C94	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO STEMS AND SPINE
F2C95	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO STEMS AND SPINE
F2C96	QUINTESSENTIAL LATIN LETTER SPINE WITH THREE STEMS
F2C97	QUINTESSENTIAL LATIN LETTER SPINE WITH TWO STEMS AND DESCENDER
F2C98	QUINTESSENTIAL LATIN LETTER SPINE WITH TWO STEMS AND TAIL
F2C99	QUINTESSENTIAL LATIN LETTER SPINE WITH TWO STEMS AND ASCENDER
F2C9A	QUINTESSENTIAL LATIN LETTER SPINE WITH TWO STEMS AND LONG STEM
F2C9B	QUINTESSENTIAL LATIN LETTER SPINE WITH TWO STEMS AND LONG TAIL
F2C9C	QUINTESSENTIAL LATIN LETTER STEM WITH TWO DESCENDERS AND SPINE
F2C9D	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO DESCENDERS AND SPINE
F2C9E	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO DESCENDERS AND SPINE
F2C9F	QUINTESSENTIAL LATIN LETTER THREE DESCENDERS WITH SPINE
F2CA0	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO DESCENDERS AND SPINE
F2CA1	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO DESCENDERS AND SPINE
F2CA2	QUINTESSENTIAL LATIN LETTER SPINE WITH TWO ASCENDERS AND STEM
F2CA3	QUINTESSENTIAL LATIN LETTER SPINE WITH TWO ASCENDERS AND DESCENDER
F2CA4	QUINTESSENTIAL LATIN LETTER SPINE WITH TWO ASCENDERS AND TAIL
F2CA5	QUINTESSENTIAL LATIN LETTER SPINE WITH THREE ASCENDERS
F2CA6	QUINTESSENTIAL LATIN LETTER SPINE WITH TWO ASCENDERS AND LONG STEM
F2CA7	QUINTESSENTIAL LATIN LETTER SPINE WITH TWO ASCENDERS AND LONG TAIL
F2CA8	QUINTESSENTIAL LATIN LETTER THREE STEMS WITH SPINE AND STEM
F2CA9	QUINTESSENTIAL LATIN LETTER THREE STEMS WITH SPINE AND DESCENDER
F2CAA	QUINTESSENTIAL LATIN LETTER THREE STEMS WITH SPINE AND TAIL
F2CAB	QUINTESSENTIAL LATIN LETTER THREE STEMS WITH SPINE AND ASCENDER
F2CAC	QUINTESSENTIAL LATIN LETTER THREE STEMS WITH SPINE AND LONG STEM
F2CAD	QUINTESSENTIAL LATIN LETTER THREE STEMS WITH SPINE AND LONG TAIL
F2CAE	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO STEMS AND SPINE AND STEM
F2CAF	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO STEMS AND SPINE AND DESCENDER
F2CB0	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO STEMS AND SPINE AND TAIL
F2CB1	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO STEMS AND SPINE AND ASCENDER
F2CB2	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO STEMS AND SPINE AND LONG STEM
F2CB3	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO STEMS AND SPINE AND LONG TAIL
F2CB4	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO STEMS AND SPINE AND STEM
F2CB5	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO STEMS AND SPINE AND DESCENDER
F2CB6	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO STEMS AND SPINE AND TAIL
F2CB7	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO STEMS AND SPINE AND ASCENDER
F2CB8	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO STEMS AND SPINE AND LONG STEM
F2CB9	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO STEMS AND SPINE AND LONG TAIL
F2CBA	QUINTESSENTIAL LATIN LETTER DESCENDER WITH TWO STEMS AND SPINE AND STEM
F2CBB	QUINTESSENTIAL LATIN LETTER DESCENDER WITH TWO STEMS AND SPINE AND DESCENDER
F2CBC	QUINTESSENTIAL LATIN LETTER DESCENDER WITH TWO STEMS AND SPINE AND TAIL
F2CBD	QUINTESSENTIAL LATIN LETTER DESCENDER WITH TWO STEMS AND SPINE AND ASCENDER
F2CBE	QUINTESSENTIAL LATIN LETTER DESCENDER WITH TWO STEMS AND SPINE AND LONG STEM
F2CBF	QUINTESSENTIAL LATIN LETTER DESCENDER WITH TWO STEMS AND SPINE AND LONG TAIL
F2CC0	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO STEMS AND SPINE AND STEM
F2CC1	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO STEMS AND SPINE AND DESCENDER
F2CC2	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO STEMS AND SPINE AND TAIL
F2CC3	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO STEMS AND SPINE AND ASCENDER
F2CC4	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO STEMS AND SPINE AND LONG STEM
F2CC5	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO STEMS AND SPINE AND LONG TAIL
F2CC6	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO STEMS AND SPINE AND STEM
F2CC7	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO STEMS AND SPINE AND DESCENDER
F2CC8	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO STEMS AND SPINE AND TAIL
F2CC9	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO STEMS AND SPINE AND ASCENDER
F2CCA	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO STEMS AND SPINE AND LONG STEM
F2CCB	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO STEMS AND SPINE AND LONG TAIL
F2CCC	QUINTESSENTIAL LATIN LETTER STEM WITH TWO DESCENDERS AND SPINE AND STEM
F2CCD	QUINTESSENTIAL LATIN LETTER STEM WITH TWO DESCENDERS AND SPINE AND DESCENDER
F2CCE	QUINTESSENTIAL LATIN LETTER STEM WITH TWO DESCENDERS AND SPINE AND TAIL
F2CCF	QUINTESSENTIAL LATIN LETTER STEM WITH TWO DESCENDERS AND SPINE AND ASCENDER
F2CD0	QUINTESSENTIAL LATIN LETTER STEM WITH TWO DESCENDERS AND SPINE AND LONG STEM
F2CD1	QUINTESSENTIAL LATIN LETTER STEM WITH TWO DESCENDERS AND SPINE AND LONG TAIL
F2CD2	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO DESCENDERS AND SPINE AND STEM
F2CD3	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO DESCENDERS AND SPINE AND DESCENDER
F2CD4	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO DESCENDERS AND SPINE AND TAIL
F2CD5	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO DESCENDERS AND SPINE AND ASCENDER
F2CD6	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO DESCENDERS AND SPINE AND LONG STEM
F2CD7	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO DESCENDERS AND SPINE AND LONG TAIL
F2CD8	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO DESCENDERS AND SPINE AND STEM
F2CD9	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO DESCENDERS AND SPINE AND DESCENDER
F2CDA	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO DESCENDERS AND SPINE AND TAIL
F2CDB	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO DESCENDERS AND SPINE AND ASCENDER
F2CDC	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO DESCENDERS AND SPINE AND LONG STEM
F2CDD	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO DESCENDERS AND SPINE AND LONG TAIL
F2CDE	QUINTESSENTIAL LATIN LETTER THREE DESCENDERS WITH SPINE AND STEM
F2CDF	QUINTESSENTIAL LATIN LETTER THREE DESCENDERS WITH SPINE AND DESCENDER
F2CE0	QUINTESSENTIAL LATIN LETTER THREE DESCENDERS WITH SPINE AND TAIL
F2CE1	QUINTESSENTIAL LATIN LETTER THREE DESCENDERS WITH SPINE AND ASCENDER
F2CE2	QUINTESSENTIAL LATIN LETTER THREE DESCENDERS WITH SPINE AND LONG STEM
F2CE3	QUINTESSENTIAL LATIN LETTER THREE DESCENDERS WITH SPINE AND LONG TAIL
F2CE4	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO DESCENDERS AND SPINE AND STEM
F2CE5	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO DESCENDERS AND SPINE AND DESCENDER
F2CE6	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO DESCENDERS AND SPINE AND TAIL
F2CE7	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO DESCENDERS AND SPINE AND ASCENDER
F2CE8	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO DESCENDERS AND SPINE AND LONG STEM
F2CE9	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO DESCENDERS AND SPINE AND LONG TAIL
F2CEA	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO DESCENDERS AND SPINE AND STEM
F2CEB	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO DESCENDERS AND SPINE AND DESCENDER
F2CEC	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO DESCENDERS AND SPINE AND TAIL
F2CED	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO DESCENDERS AND SPINE AND ASCENDER
F2CEE	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO DESCENDERS AND SPINE AND LONG STEM
F2CEF	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO DESCENDERS AND SPINE AND LONG TAIL
F2CF0	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND THREE STEMS
F2CF1	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND TWO STEMS AND DESCENDER
F2CF2	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND TWO STEMS AND TAIL
F2CF3	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND TWO STEMS AND ASCENDER
F2CF4	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND TWO STEMS AND LONG STEM
F2CF5	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND TWO STEMS AND LONG TAIL
F2CF6	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND THREE STEMS
F2CF7	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND TWO STEMS AND DESCENDER
F2CF8	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND TWO STEMS AND TAIL
F2CF9	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND TWO STEMS AND ASCENDER
F2CFA	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND TWO STEMS AND LONG STEM
F2CFB	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND TWO STEMS AND LONG TAIL
F2CFC	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND THREE STEMS
F2CFD	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND TWO STEMS AND DESCENDER
F2CFE	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND TWO STEMS AND TAIL
F2CFF	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND TWO STEMS AND ASCENDER
F2D00	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND TWO STEMS AND LONG STEM
F2D01	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND TWO STEMS AND LONG TAIL
F2D02	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND THREE STEMS
F2D03	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND TWO STEMS AND DESCENDER
F2D04	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND TWO STEMS AND TAIL
F2D05	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND TWO STEMS AND ASCENDER
F2D06	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND TWO STEMS AND LONG STEM
F2D07	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND TWO STEMS AND LONG TAIL
F2D08	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND THREE STEMS
F2D09	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND TWO STEMS AND DESCENDER
F2D0A	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND TWO STEMS AND TAIL
F2D0B	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND TWO STEMS AND ASCENDER
F2D0C	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND TWO STEMS AND LONG STEM
F2D0D	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND TWO STEMS AND LONG TAIL
F2D0E	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND THREE STEMS
F2D0F	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND TWO STEMS AND DESCENDER
F2D10	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND TWO STEMS AND TAIL
F2D11	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND TWO STEMS AND ASCENDER
F2D12	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND TWO STEMS AND LONG STEM
F2D13	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND TWO STEMS AND LONG TAIL
F2D14	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND TWO ASCENDERS AND STEM
F2D15	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND TWO ASCENDERS AND DESCENDER
F2D16	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND TWO ASCENDERS AND TAIL
F2D17	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND THREE ASCENDERS
F2D18	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND TWO ASCENDERS AND LONG STEM
F2D19	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND TWO ASCENDERS AND LONG TAIL
F2D1A	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND TWO ASCENDERS AND STEM
F2D1B	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND TWO ASCENDERS AND DESCENDER
F2D1C	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND TWO ASCENDERS AND TAIL
F2D1D	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND THREE ASCENDERS
F2D1E	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND TWO ASCENDERS AND LONG STEM
F2D1F	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND TWO ASCENDERS AND LONG TAIL
F2D20	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND TWO ASCENDERS AND STEM
F2D21	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND TWO ASCENDERS AND DESCENDER
F2D22	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND TWO ASCENDERS AND TAIL
F2D23	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND THREE ASCENDERS
F2D24	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND TWO ASCENDERS AND LONG STEM
F2D25	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND TWO ASCENDERS AND LONG TAIL
F2D26	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND TWO ASCENDERS AND STEM
F2D27	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND TWO ASCENDERS AND DESCENDER
F2D28	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND TWO ASCENDERS AND TAIL
F2D29	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND THREE ASCENDERS
F2D2A	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND TWO ASCENDERS AND LONG STEM
F2D2B	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND TWO ASCENDERS AND LONG TAIL
F2D2C	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND TWO ASCENDERS AND STEM
F2D2D	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND TWO ASCENDERS AND DESCENDER
F2D2E	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND TWO ASCENDERS AND TAIL
F2D2F	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND THREE ASCENDERS
F2D30	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND TWO ASCENDERS AND LONG STEM
F2D31	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND TWO ASCENDERS AND LONG TAIL
F2D32	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND TWO ASCENDERS AND STEM
F2D33	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND TWO ASCENDERS AND DESCENDER
F2D34	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND TWO ASCENDERS AND TAIL
F2D35	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND THREE ASCENDERS
F2D36	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND TWO ASCENDERS AND LONG STEM
F2D37	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND TWO ASCENDERS AND LONG TAIL
F2D38	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND TWO STEMS
F2D39	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND STEM AND DESCENDER
F2D3A	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND STEM AND TAIL
F2D3B	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND STEM AND ASCENDER
F2D3C	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND STEM AND LONG STEM
F2D3D	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND STEM AND LONG TAIL
F2D3E	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND TWO STEMS
F2D3F	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND STEM AND DESCENDER
F2D40	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND STEM AND TAIL
F2D41	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND STEM AND ASCENDER
F2D42	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND STEM AND LONG STEM
F2D43	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND STEM AND LONG TAIL
F2D44	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND TWO STEMS
F2D45	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND STEM AND DESCENDER
F2D46	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND STEM AND TAIL
F2D47	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND STEM AND ASCENDER
F2D48	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND STEM AND LONG STEM
F2D49	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND STEM AND LONG TAIL
F2D4A	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND TWO STEMS
F2D4B	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND STEM AND DESCENDER
F2D4C	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND STEM AND TAIL
F2D4D	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND STEM AND ASCENDER
F2D4E	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND STEM AND LONG STEM
F2D4F	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND STEM AND LONG TAIL
F2D50	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND TWO STEMS
F2D51	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND STEM AND DESCENDER
F2D52	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND STEM AND TAIL
F2D53	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND STEM AND ASCENDER
F2D54	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND STEM AND LONG STEM
F2D55	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND STEM AND LONG TAIL
F2D56	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND TWO STEMS
F2D57	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND STEM AND DESCENDER
F2D58	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND STEM AND TAIL
F2D59	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND STEM AND ASCENDER
F2D5A	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND STEM AND LONG STEM
F2D5B	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND STEM AND LONG TAIL
F2D5C	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND ASCENDER AND STEM
F2D5D	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND ASCENDER AND DESCENDER
F2D5E	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND ASCENDER AND TAIL
F2D5F	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND TWO ASCENDERS
F2D60	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND ASCENDER AND LONG STEM
F2D61	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND ASCENDER AND LONG TAIL
F2D62	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND ASCENDER AND STEM
F2D63	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND ASCENDER AND DESCENDER
F2D64	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND ASCENDER AND TAIL
F2D65	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND TWO ASCENDERS
F2D66	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND ASCENDER AND LONG STEM
F2D67	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND ASCENDER AND LONG TAIL
F2D68	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND ASCENDER AND STEM
F2D69	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND ASCENDER AND DESCENDER
F2D6A	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND ASCENDER AND TAIL
F2D6B	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND TWO ASCENDERS
F2D6C	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND ASCENDER AND LONG STEM
F2D6D	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND ASCENDER AND LONG TAIL
F2D6E	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND ASCENDER AND STEM
F2D6F	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND ASCENDER AND DESCENDER
F2D70	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND ASCENDER AND TAIL
F2D71	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND TWO ASCENDERS
F2D72	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND ASCENDER AND LONG STEM
F2D73	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND ASCENDER AND LONG TAIL
F2D74	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND ASCENDER AND STEM
F2D75	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND ASCENDER AND DESCENDER
F2D76	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND ASCENDER AND TAIL
F2D77	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND TWO ASCENDERS
F2D78	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND ASCENDER AND LONG STEM
F2D79	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND ASCENDER AND LONG TAIL
F2D7A	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND ASCENDER AND STEM
F2D7B	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND ASCENDER AND DESCENDER
F2D7C	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND ASCENDER AND TAIL
F2D7D	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND TWO ASCENDERS
F2D7E	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND ASCENDER AND LONG STEM
F2D7F	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND ASCENDER AND LONG TAIL
